newspaper;title;date;abstract;link
Financial Times;space funding plunges 58% from record year as investors shun risk;January 19, 2023;...performance of many spac companies, like virgin galactic, has caused many investors to view space as a higher risk asset class, in line with other speculative technology fields like cryptocurrency and themetaverse...;https://www.ft.com/content/b8b6c8c4-79cd-4f4b-81ef-f1574b54cb44
Financial Times;you really don’t want to get in a twitter fight with elon musk;November 14, 2022;...btw keen to get your thoughts on themetaverse. let’s get a date in the diary.  best, rutherford  member dcms panel on business and themetaversefind me on strava, kom sydenham hill....;https://www.ft.com/content/3cbd0091-685a-42e3-bdd8-357965b356f9
Financial Times;epic games secures $2bn from sony and lego to build gamingmetaverse;April 11, 2022;...epic games, the maker of fortnite, has secured $2bn in new funding from sony and the group behind the lego franchise as leading global games companies race to build an avatar-filled “metaverse”....;https://www.ft.com/content/24d4378a-6977-4ed8-be63-23c9bf9df366
Financial Times;it’s not time to log off from reality yet;July 15, 2022;...yet this does not mean we are all on the verge of spending hours and hours in themetaverse....;https://www.ft.com/content/9e2d885d-ba67-4253-8d3d-2d8993701889
Financial Times;hermès wins landmark lawsuit over ‘metabirkin’ nfts;February 8, 2023;...the case has been closely followed by legal experts as well as the world’s biggest retail and luxury brands as big names including nike, gucci and balenciaga venture into nfts and themetaverse....;https://www.ft.com/content/5f40179e-7124-4479-8124-df193c49c276
Financial Times;ignore themetaverse. the real value in gaming is intellectual property;April 12, 2022;...satya nadella, chief executive, spoke fuzzily about that deal helping a gamingmetaverse....;https://www.ft.com/content/e156c39a-fc8c-4970-8318-ec307d0bee5f
Financial Times;the uk equity discount, reduxpremiumcontent;November 10, 2022;...i’ve decided to substantially lower the amount we spend on our long-term vision for themetaverse....;https://www.ft.com/content/a4bfe012-855b-43f9-a27d-403f04609852
Financial Times;brutal week for big tech with nearly $800bn wiped off valuations;October 27, 2022;...wall street’s loss of confidence in the progress of zuckerberg’smetaversevision wiped 24.6 per cent from meta’s shares on thursday in new york, cutting $84.6bn from its stock market value....;https://www.ft.com/content/3abf8c31-95bb-47ea-a461-351a5fbfaa4d
Financial Times;csop am launchesmetaverseetf in hong kong;February 23, 2022;...thailand’s firstmetaversefund, the mfcmetaverseequity, was launched by bangkok-based mfc asset management in december last year....;https://www.ft.com/content/d74ef750-d1d6-4f9d-b754-7f8deb80bb32
Financial Times;dave limp: amazon’s focus is on the real world, not themetaverse;April 22, 2022;...have a voice assistant in themetaverse....;https://www.ft.com/content/3d5bdfa8-d85e-41e8-b2d5-fadf8948cbba
Financial Times;lex hits and misses: ahead on market rout, behind on tech nuancepremiumcontent;December 27, 2022;...our suggestion that apple could hit a market capitalisation of $4tn with help from sales ofmetaversegoggles now seems myopic. the worth of the devices maker has slipped from $3tn to $2.1tn....;https://www.ft.com/content/b8f1a2f9-9c61-46be-be3b-3643a408c7d5
Financial Times;why gamers are sceptical of zuckerberg’smetaverse;March 8, 2022;...as it stands, “metaverse” is little more than a lure for investors....;https://www.ft.com/content/0c0e45dc-b0df-4a1a-8dd0-70668ce64a99
Financial Times;pearl lam and basma al sulaiman on their feisty, art-fuelled friendship;November 27, 2022;...“basically, basma was doingmetaversebefore anyone else was doingmetaverse,” says lam. “but it was like gibberish to people,” adds al sulaiman....;https://www.ft.com/content/b8afaeb7-82a2-4fc5-aaef-decfd589a3a2
Financial Times;the ftx bankruptcy filing in full (updated);November 17, 2022;...headquarters in themetaverseplatform decentraland,” says ray....;https://www.ft.com/content/c236d6f9-da5a-4da7-8dc8-5cd450dfe39d
Financial Times;bored ape creator’s next windfall: selling land in an ‘open’metaverse;May 10, 2022;...but yuga’s first leap into themetaversehas already laid bare the limitations of blockchain technology....;https://www.ft.com/content/494b7749-5491-459a-8da2-02e480d139e0
Financial Times;pearl lam and basma al sulaiman on their feisty, art-fuelled friendship;November 27, 2022;...“basically, basma was doingmetaversebefore anyone else was doingmetaverse,” says lam. “but it was like gibberish to people,” adds al sulaiman....;https://www.ft.com/content/b8afaeb7-82a2-4fc5-aaef-decfd589a3a2
Financial Times;tim sweeney: epic will fight apple and google to keep themetaverseopen;May 26, 2022;...pm: when i think of themetaverse, it’s much broader than gaming. it’s doing work in themetaverse, and meeting your colleagues in there....;https://www.ft.com/content/e13ce526-0e33-4ca2-9699-184d0138eada
Financial Times;mastering themetaverse;February 7, 2022;...by 2026, 30 per cent of the organisations in the world will have products and services ready formetaverse”....;https://www.ft.com/content/d33e38b3-ce31-42a7-b354-13fc9b022ca8
Financial Times;bored ape start-up set to make $300mn inmetaverseland sales;April 29, 2022;...andreessen horowitz-backed yuga labs plans to sell nft “deeds” for up to 55,000 plots of virtual land in the otherside, its forthcomingmetaversegame, starting on saturday....;https://www.ft.com/content/f34c15c1-8bd4-481f-82a4-15428c185f13
Financial Times;instagram founders launch artifact to rival twitter and tackle misinformation;February 1, 2023;...“[it is] a particularly timely moment both in the technology industry, with twitter’s takeover by elon and facebook’s focus on themetaverse,” kevin systrom, co-founder and chief executive, told the financial...;https://www.ft.com/content/85553e43-5623-4c30-ab57-2232e250ec0c
Financial Times;letter: naked strolling in vr headsets isn’t for everyone;September 5, 2022;...august 30) explaining new uses of blockchain technology to improve our planet’s ecosystem and for explaining how people can cut their carbon footprint by buying new virtual, rather than real, clothes in themetaverse...;https://www.ft.com/content/743de529-80f6-4c44-a09c-cefa89942469
Financial Times;the rise and fall of payday lenderspremiumcontent;December 19, 2022;...exchange traded funds are going big on themetaverse, writes steve johnson....;https://www.ft.com/content/d38efce1-0775-428f-b3e8-3d4dcb45baab
Financial Times;firstft: us consumer prices rise despite fed rate increases;October 14, 2022;...themetaverserevolution may yet devour meta mark zuckerberg is so in love with the promise of themetaversethat he rebranded his company and bet his business on the idea....;https://www.ft.com/content/cc774578-f012-4d4b-bab3-989fd0ddb5fd
Financial Times;end the fed ‘put’;February 1, 2023;...longer term investors should ignore themes that we have derisively called “cute wiener dogs in themetaverse” to focus on the woeful us underinvestment in real productive assets....;https://www.ft.com/content/d5204b8f-0aea-414b-999b-0984a8cb166e
Financial Times;is this the high street’s last stand?;January 17, 2023;...argues that consumer behaviour in china, always 10 years ahead, suggests more fragmentation of spending, with growth in areas such as social retail, shoppable livestreaming or even (heaven help us) themetaverse...;https://www.ft.com/content/946e60d0-b75b-410c-9d0f-f52f0ab35c89
Financial Times;best books of 2022: technology;November 22, 2022;...fun, provocative, occasionally zany, reality+ sketches out the contours of a new “technophilosophy” and makes you think afresh about the possibilities of themetaverse....;https://www.ft.com/content/3e400a66-0bc0-4963-a9a4-55e6ef0112c4
Financial Times;becoming best mates with themetaverse;February 16, 2022;...others are heading with a wet sail for themetaversein different ways....;https://www.ft.com/content/3196b6c0-ce8e-4874-b4e5-a6266d5424ee
Financial Times;meta’s ai-driven advertising system splits marketers;February 28, 2023;...meta has spent more on revamping its ai advertising capabilities to battle the fallout from apple’s changes than on chief executive mark zuckerberg’s lossmaking push to build a digital avatar-filledmetaverse...;https://www.ft.com/content/fc95a0f7-5e4e-4616-9b17-7b72daee6c60
Financial Times;epic games to pay ftc $520mn to resolve ‘fortnite’ claims;December 19, 2022;...it is working with lego to develop an online world, or “metaverse”, for children and has also developed fortnite-branded toys with companies such as hasbro....;https://www.ft.com/content/3b97735b-1a54-4ebb-a288-7ab8ea217c9c
